区域,所属产品,模块,场景名称,场景等级,接口名称,涉及接口
国内,其他,健康检查,健康检查,P1,info,/check/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P1,查询用户门店集卡进度,/v1/accumulatePoint/querySchedule
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P1,根据【附近门店、渠道】查询集点活动、集点进度,/v1/accumulatePoint/queryActivityByShopId
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P1,查询任务专区,/v1/accumulatePoint/taskArea/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P1,根据【活动id】查询集点活动、奖励列表、集点进度,/v1/accumulatePoint/h5/queryActivityByMarketingId
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P2,用户领取活动,/v1/accumulatePoint/h5/receiveActivity
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P2,用户领取活动,/v1/accumulatePoint/receiveActivity
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P1,exchangeInfo,/v1/accumulatePoint/exchange/info
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P2,exchange,/v1/accumulatePoint/exchange
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P2,h5Exchange,/v1/accumulatePoint/h5/exchange
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P2,exchangeRecord,/v1/accumulatePoint/exchange/record
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P2,h5ExchangeRecord,/v1/accumulatePoint/h5/exchange/record
国内,蜜雪小程序/支付宝小程序/Android/IOS,集点活动,集点活动,P2,h5Record,/v1/accumulatePoint/h5/record
国内,蜜雪小程序/支付宝小程序/Android/IOS,广告管理,广告管理,P1,广告列表,v1/adinfo/list
国内,蜜雪小程序/支付宝小程序/Android/IOS,广告管理,广告管理,P1,get,v1/adinfo/{adInfoId}
国内,蜜雪小程序/支付宝小程序/Android/IOS,广告管理,广告管理,P1,信息流列表,v1/adinfo/feeds
国内,蜜雪小程序/支付宝小程序/Android/IOS,广告管理,广告管理,P1,限制性广告列表,v1/adinfo/limitedAds
